Country Name,Country Code,Indicator Name,Indicator Code,Year,GDP per Capita
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,2020,22855.93232
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,2021,27200.06108
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,2022,30559.53353
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,2023,33984.79062
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,2020,1344.080962
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,2021,1522.590088
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,2022,1628.024526
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,2023,1659.51529
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,2020,510.7870634
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,2021,356.4962141
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,2022,357.2611528
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,2023,415.7074171
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,2020,1664.249176
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,2021,1747.840549
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,2022,1777.235012
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,2023,1568.72431
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2020,1449.922867
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2021,1925.874661
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2022,2929.694455
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2023,2308.159767
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2020,5370.778623
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2021,6413.283286
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2022,6846.426143
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,2023,8575.171134
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,2020,37361.09007
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,2021,42425.69968
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,2022,42414.05901
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,2023,46812.44845
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,2020,5648.341118
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,2021,6445.807261
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,2022,7658.40647
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,2023,7292.210408
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,2020,37173.87541
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,2021,43360.0211
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,2022,49899.0653
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,2023,49040.69475
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,2020,8535.59938
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,2021,10738.01792
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,2022,13935.68111
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,2023,14187.48273
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2020,4268.680933
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2021,4685.179971
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2022,6571.974455
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2023,8053.010663
